tag,keyword
TEC1,comms article blog organized presentation graphic design website marketing seo social platform discord telegram forum discourse medium linkedin website article retweeting retweet retweets organized presentation communications
TEC2,culture build soft gov survey vote voting debate
TEC3,params parameters param parties party
TEC4,legal strategy
TEC5,commons swarm tech dev dapp tech dapp app bug
TEC6,hatch outreach onboarding onboard outreach
TEC7,omega survey philosophy
TEC8,stewards github steward project management
TEC9,labs lab
TEC10,transparency youtube recording record
TEC12,participation retweets
TEC13,fundraising donating fundraising
TEC14,technical infrastructure
TEC15,tec community building
TEC16,personal praise
TEC17,gravity conflict nonviolent communication
